iter	Passed	Remaining
415	2780	64066
416	2786	64040
417	2795	64075
418	2803	64100
419	2811	64134
420	2817	64112
421	2823	64093
422	2829	64066
423	2836	64055
424	2842	64040
425	2848	64017
426	2854	63986
427	2860	63964
428	2865	63931
429	2871	63906
430	2877	63888
431	2883	63868
432	2890	63867
433	2898	63878
434	2907	63922
435	2914	63940
436	2921	63931
437	2929	63946
438	2936	63963
439	2943	63946
440	2950	63951
441	2958	63984
442	2966	63988
443	2972	63980
444	2978	63962
445	2986	63971
446	2992	63961
447	3001	63986
448	3009	64023
449	3018	64058
450	3026	64075
451	3033	64073
452	3039	64051
453	3046	64052
454	3054	64074
455	3064	64139
456	3071	64147
457	3079	64165
458	3087	64168
459	3095	64205
460	3102	64197
461	3110	64214
462	3117	64207
463	3124	64219
464	3131	64208
465	3137	64196
466	3143	64174
467	3150	64164
468	3156	64151
469	3163	64136
470	3169	64118
471	3175	64096
472	3182	64096
473	3188	64077
474	3195	64071
475	3201	64048
476	3208	64046
477	3215	64059
478	3222	64051
479	3229	64059
480	3236	64051
481	3242	64035
482	3248	64009
483	3254	63994
484	3263	64020
485	3271	64050
486	3280	64077
487	3288	64097
488	3297	64133
489	3305	64148
490	3313	64172
491	3321	64196
492	3329	64207
493	3338	64246
494	3346	64261
495	3354	64283
496	3363	64316
497	3372	64349
498	3381	64385
499	3391	64439
500	3399	64453
501	3406	64461
502	3416	64509
503	3426	64558
504	3432	64537
505	3442	64592
506	3450	64614
507	3460	64663
508	3469	64686
509	3476	64698
510	3485	64726
511	3492	64727
512	3502	64775
513	3511	64800
514	3517	64786
515	3525	64804
516	3534	64832
517	3539	64792
518	3547	64803
519	3555	64823
520	3563	64836
521	3572	64858
522	3576	64808
523	3584	64815
524	3591	64819
525	3600	64853
526	3609	64878
527	3618	64907
528	3626	64931
529	3634	64932
530	3641	64943
531	3647	64919
532	3657	64969
533	3666	64999
534	3675	65022
535	3684	65060
536	3693	65090
537	3702	65120
538	3712	65166
539	3722	65205
540	3730	65229
541	3739	65248
542	3746	65255
543	3755	65281
544	3760	65242
545	3768	65255
546	3777	65273
547	3784	65275
548	3793	65303
549	3802	65328
550	3812	65373
551	3821	65408
552	3833	65483
553	3845	65568
554	3863	65743
555	3874	65811
556	3884	65862
